score,citations_int,score_reason,source,doi,title,abstract,venue,year,citations,authors,url
4,30,families=2+test,crossref,10.1002/for.2869,Forecasting international equity market volatility: A new approach,"Abstract We propose a new heterogeneous autoregressive (HAR) model to investigate whether the novel HAR‐RV model we design exhibits superior predictive ability compared with the classical HAR‐RV model in forecasting the realized volatility (RV) of international equity markets. We reconstruct the weekly and monthly HAR components by using the exponentially weighted moving averages (EWMA) method, and the new model is therefore termed EWMA‐HAR‐RV. The in‐sample results and the out‐of‐sample analyses suggest that the EWMA‐HAR‐RV model exhibits stronger predictive power in predicting most international equity market RVs. We further analyze the source of additional predictive power for the EWMA‐HAR‐RV model and find that giving more weight to recent information and using more historical information are helpful for the predictions.",Journal of Forecasting,2022,30,"Liang, Chao; Li, Yan; Ma, Feng; Zhang, Yaojie",https://doi.org/10.1002/for.2869
4,9,families=2+test,crossref,10.1002/for.2736,Forecasting volatility with outliers in Realized GARCH models,"Abstract The Realized generalized autoregressive conditional heteroskedasticity (GARCH) model proposed by Hansen is often applied to forecast volatility in high‐frequency financial data. It is frequently found, however, that the distribution of the estimated residuals from Realized GARCH models has peak fat‐tail characteristics. Considering this feature may be a result of neglected additive outliers (AOs) and innovative outliers (IOs), this paper proposes the Realized GARCH model with additive outlier and innovative outlier (Realized GARCH‐AI model) for forecasting volatility. This model can detect and correct abnormal returns and realized volatility by estimating the coefficients of volatility models and calculating the outlier test statistics. In the process of simulation, this paper considers different outlier cases in the GARCH model and the Realized GARCH model, and evaluates the performance of the proposed procedure through the accuracy of parameter estimation under different critical values. We find that the critical values will affect the results of outlier detection and correction. When the value is in a suitable range, the proposed procedure based on high‐frequency data can obtain unbiased parameter estimation, and the estimation result is close to those of the intervention model containing outlier information. Finally, we use the MCS test proposed by Hansen et al. ( Econometrica , 2011, 79 (2), 453–497) to study the volatility prediction accuracy, value at risk, and expected shortfall prediction ability of the new model. The empirical analysis demonstrates that the proposed model produces better prediction effects than the traditional Realized GARCH model.",Journal of Forecasting,2021,9,"Cai, Guanghui; Wu, Zhimin; Peng, Lei",https://doi.org/10.1002/for.2736
4,4,families=2+test,crossref,10.1002/for.2968,Does herding effect help forecast market volatility?—Evidence from the Chinese stock market,"Abstract This paper aims to study the predictive power of market herding effect for market volatility. We extend the widely used four types of linear HAR models by incorporating the market herding index and further introduce a nonlinear forecasting mechanism by using two machine learning algorithms—support vector regression (SVR) and random forest (RF). All the methods are applied to the Chinese stock market. We evaluate their in‐sample and out‐of‐sample performances for various prediction step lengths. The results show that according to the RMSE and MAE, for the daily volatility prediction, the extra herding factor makes no significant contribution, and the linear model has no significant difference with the algorithms as well, whereas with the increase of step length, the herding factor shows a significant power in the weekly, monthly, and quarterly prediction, and meanwhile, the RF algorithm outperforms the other methods. However, for the QLIKE, the herding factor always significantly improves the predictions for all kinds of step lengths and methods, and the SVR algorithm with the herding factor is dominant. Overall, the herding factor helps forecast the volatility, and the extent to which the precision is improved takes on an inverted “U” shape with the increase in step length. The two algorithms are superior to the linear model, especially for the longer‐term prediction, and the herding factor can help enlarge this advantage, which implies a nonlinear relationship between the herding and volatility. Besides, the extra liquidity factor plays no significant role in the volatility prediction, but the continuous variation (CV), jump variation (JV), and leverage effect are helpful in most cases.",Journal of Forecasting,2023,4,"Wang, Yide; Yu, Chao; Zhao, Xujie",https://doi.org/10.1002/for.2968
4,0,families=2+test,arxiv,,Data driven value-at-risk forecasting using a SVR-GARCH-KDE hybrid,"Appropriate risk management is crucial to ensure the competitiveness of financial institutions and the stability of the economy. One widely used financial risk measure is Value-at-Risk (VaR). VaR estimates based on linear and parametric models can lead to biased results or even underestimation of risk due to time varying volatility, skewness and leptokurtosis of financial return series. The paper proposes a nonlinear and nonparametric framework to forecast VaR that is motivated by overcoming the disadvantages of parametric models with a purely data driven approach. Mean and volatility are modeled via support vector regression (SVR) where the volatility model is motivated by the standard generalized autoregressive conditional heteroscedasticity (GARCH) formulation. Based on this, VaR is derived by applying kernel density estimation (KDE). This approach allows for flexible tail shapes of the profit and loss distribution, adapts for a wide class of tail events and is able to capture complex structures regarding mean and volatility. The SVR-GARCH-KDE hybrid is compared to standard, exponential and threshold GARCH models coupled with different error distributions. To examine the performance in different markets, one-day-ahead and ten-days-ahead forecasts are produced for different financial indices. Model evaluation using a likelihood ratio based test framework for interval forecasts and a test for superior predictive ability indicates that the SVR-GARCH-KDE hybrid performs competitive to benchmark models and reduces potential losses especially for ten-days-ahead forecasts significantly. Especially models that are coupled with a normal distribution are systematically outperformed.",arXiv q-fin,2020,0,Marius Lux; Wolfgang Karl Härdle; Stefan Lessmann,https://arxiv.org/abs/2009.06910v1
4,0,families=2+test,arxiv,,Volatility Forecasting with 1-dimensional CNNs via transfer learning,"Volatility is a natural risk measure in finance as it quantifies the variation of stock prices. A frequently considered problem in mathematical finance is to forecast different estimates of volatility. What makes it promising to use deep learning methods for the prediction of volatility is the fact, that stock price returns satisfy some common properties, referred to as `stylized facts'. Also, the amount of data used can be high, favoring the application of neural networks. We used 10 years of daily prices for hundreds of frequently traded stocks, and compared different CNN architectures: some networks use only the considered stock, but we tried out a construction which, for training, uses much more series, but not the considered stocks. Essentially, this is an application of transfer learning, and its performance turns out to be much better in terms of prediction error. We also compare our dilated causal CNNs to the classical ARIMA method using an automatic model selection procedure.",arXiv q-fin,2020,0,Bernadett Aradi; Gábor Petneházi; József Gáll,https://arxiv.org/abs/2009.05508v1
4,0,families=2+test,arxiv,,Unified GARCH-Recurrent Neural Network in Financial Volatility Forecasting,"In this study, we develop a unified volatility modeling framework that embeds GARCH dynamics directly within recurrent neural networks. We propose two interpretable hybrid architectures, GARCH-GRU and GARCH-LSTM, that integrate the GARCH(1,1) volatility update into the multiplicative gating structure of GRU and LSTM cells. This unified design preserves economically meaningful GARCH parameters while enabling the networks to learn nonlinear temporal dependencies in financial time series. Comprehensive out-of-sample evaluations across major U.S. equity indices show that both models consistently outperform classical GARCH specifications, pipeline-style hybrids, and neural baselines such as the Transformer across multiple metrics (MSE, MAE, SMAPE, and out-of-sample R\textsuperscript{2}). Within this family, the GARCH-GRU achieves the strongest accuracy-efficiency tradeoff, training nearly three times faster than GARCH-LSTM while maintaining comparable or superior forecasting accuracy under normal market conditions and delivering stable and economically plausible parameter estimates. The advantages persist during extreme market turbulence. In the COVID-19 stress period, both architectures retain superior forecasting accuracy and deliver well-calibrated 99 percent Value-at-Risk forecasts, achieving lower violation ratios and competitive Pinball losses relative to all benchmarks. Overall, the findings underscore the effectiveness of embedding GARCH dynamics within recurrent neural architectures, yielding models that are accurate, efficient, interpretable, and robust for real-world risk-aware volatility forecasting.",arXiv q-fin,2025,0,Jingyi Wei; Steve Yang; Zhenyu Cui,https://arxiv.org/abs/2504.09380v2
4,0,families=2+test,arxiv,,Assessing Uncertainty in Stock Returns: A Gaussian Mixture Distribution-Based Method,"This study seeks to advance the understanding and prediction of stock market return uncertainty through the application of advanced deep learning techniques. We introduce a novel deep learning model that utilizes a Gaussian mixture distribution to capture the complex, time-varying nature of asset return distributions in the Chinese stock market. By incorporating the Gaussian mixture distribution, our approach effectively characterizes short-term fluctuations and non-traditional features of stock returns, such as skewness and heavy tails, that are often overlooked by traditional models. Compared to GARCH models and their variants, our method demonstrates superior performance in volatility estimation, particularly during periods of heightened market volatility. It provides more accurate volatility forecasts and offers unique risk insights for different assets, thereby deepening the understanding of return uncertainty. Additionally, we propose a novel use of Code embedding which utilizes a bag-of-words approach to train hidden representations of stock codes and transforms the uncertainty attributes of stocks into high-dimensional vectors. These vectors are subsequently reduced to two dimensions, allowing the observation of similarity among different stocks. This visualization facilitates the identification of asset clusters with similar risk profiles, offering valuable insights for portfolio management and risk mitigation. Since we predict the uncertainty of returns by estimating their latent distribution, it is challenging to evaluate the return distribution when the true distribution is unobservable. However, we can measure it through the CRPS to assess how well the predicted distribution matches the true returns, and through MSE and QLIKE metrics to evaluate the error between the volatility level of the predicted distribution and proxy measures of true volatility.",arXiv q-fin,2025,0,Yanlong Wang; Jian Xu; Shao-Lun Huang; Danny Dongning Sun; Xiao-Ping Zhang,https://arxiv.org/abs/2503.06929v1
4,0,families=2+test,crossref,10.1002/for.70087,"Exploring the Forecasting of Crude Oil, Gold, and Euro Currency Implied Volatility Indices: Insights From the Decomposed Stock Market Volatility","ABSTRACT This paper explores whether the information from the stock market can provide positive contents for the implied volatility prediction in the crude oil market, gold market, and foreign exchange market. Specifically, we investigate the predictive effects of realized continuous volatility, realized jump volatility, positive and negative realized semi‐variations, and signed jumps from the S&amp;P 500 index on three implied volatility indices, OVX (Crude Oil Volatility Index), GVZ (Gold Volatility Index), and EVZ (Euro Volatility Index). We construct a hybrid method by combining parametric models with machine learning to explore the market spillover effects of stock market information on three markets. The empirical results show that realized measures in the stock market can provide incremental information for the prediction of the implied volatility indices, the positive and negative semi‐variations of stock index showing better performance than that of jump volatility. The method of combining FNN with the parametric model shows better performance compared to SVR. The superiority of this hybrid approach is further verified based on the Model Confidence Set test. Furthermore, an economic significance evaluation confirms that the enhanced predictive accuracy translates into significant economic value.",Journal of Forecasting,2026,0,"Jiang, Gongyue; Qiao, Gaoxiu; Huang, Shiyuan",https://doi.org/10.1002/for.70087
4,0,families=4+test,crossref,10.1002/for.70082,A Fuzzy Framework for Realized Volatility Prediction: Empirical Evidence From Equity Markets,"ABSTRACT This study introduces a realized volatility fuzzy time series (RV‐FTS) model that applies a fuzzy c‐means clustering algorithm to estimate time‐varying latent volatility states and their corresponding membership degrees. These memberships are used to construct a fuzzified volatility estimate as a weighted average of cluster centroids. The final volatility forecast is generated through an exponentially weighted moving average (EWMA) mechanism that combines the most recent fuzzified volatility estimate with the previous forecast, governed by the smoothing parameter . The two hyperparameters are estimated using a rolling‐window cross‐validation approach. Our empirical study is based on volatility forecasts for 14 major stock market indices, covering more than 20 years of data. We predict 1‐ to 22‐day‐ahead volatility and compare the RV‐FTS model with nine standard volatility model benchmarks: generalized autoregressive conditional heteroscedasticity (GARCH), ARFIMA, AR, heterogeneous autoregressive (HAR), EWMA, and random forest models, as well as conditional combination forecasts. We find that, in the short‐term, day‐ahead setting, the RV‐FTS model tends to outperform the benchmark models under the mean squared error loss and performs similarly to the best models under the QLIKE loss. The conditional combination forecast shows that across all markets and multiple forecast horizons, there are periods when the weight of the RV‐FTS model in the conditional combination of eight models reaches 50% or more. The volatility timing strategy also shows that the RV‐FTS model leads to higher cost‐ and risk‐adjusted returns compared with a benchmark volatility model.",Journal of Forecasting,2026,0,"Iqbal, Shafqat; Lyócsa, Štefan",https://doi.org/10.1002/for.70082
3,85,"families=2:har,ml",crossref,10.1093/jjfinec/nbac020,A Machine Learning Approach to Volatility Forecasting,"Abstract We inspect how accurate machine learning (ML) is at forecasting realized variance of the Dow Jones Industrial Average index constituents. We compare several ML algorithms, including regularization, regression trees, and neural networks, to multiple heterogeneous autoregressive (HAR) models. ML is implemented with minimal hyperparameter tuning. In spite of this, ML is competitive and beats the HAR lineage, even when the only predictors are the daily, weekly, and monthly lags of realized variance. The forecast gains are more pronounced at longer horizons. We attribute this to higher persistence in the ML models, which helps to approximate the long memory of realized variance. ML also excels at locating incremental information about future volatility from additional predictors. Lastly, we propose an ML measure of variable importance based on accumulated local effects. This shows that while there is agreement about the most important predictors, there is disagreement on their ranking, helping to reconcile our results.",Journal of Financial Econometrics,2023,85,"Christensen, Kim; Siggaard, Mathias; Veliyev, Bezirgen",https://doi.org/10.1093/jjfinec/nbac020
