paper_id,headline_winner,headline_runner_up,other_models,winner_metric,winner_advantage_quote,sig_test_in_paper,horse_race_intensity,notes
P01_christensen_2023,Random forest + Neural networks (joint),LogHAR,"HAR, HAR-J, HAR-CJ, LogHAR, MHAR, ridge, lasso, elastic net, regression tree, random forest, gradient boosting, neural network, ensemble",MSE,"ML is competitive and beats the HAR lineage; random forest and neural networks are preferred among ML algorithms and significantly improve prediction relative to HAR",DM + MCS,high,Tier-1 horse race; uses DM (one-sided) and Hansen-Lunde-Nason MCS; multiple winners across categories (best linear=elastic net 8.4% MSE reduction; best tree=RF; best ML=NN/RF; best HAR=LogHAR)
P02_bucci_2020,NARX (and LSTMX),LSTM,"FNN, ENN, JNN, LSTM, LSTMX, NARX, GARCH-family, ARMA, stochastic vol",QLIKE/MSE,"recurrent neural networks are able to outperform all the traditional econometric methods; the SSM contained only the NARX model which provided the best overall performance in terms of accuracy",MCS,high,Most-cited paper in our sample (c=105); paper applies Hansen MCS test; multi-step horizon: NARX is the only SSM survivor
P03_luong_2018,Random forest + HAR (with purified IV feature),HAR alone,"HAR-RV, random forest, purified implied volatility feature",MSE,"random forests algorithm to improve the forecasting of realised volatility... based on the HAR model framework with the inclusion of the purified implied volatility",none,medium,Builds RF on top of HAR features; no formal sig test mentioned in abstract
P04_bennedsen_2022,Brownian semistationary (BSS) volatility,Fractional stochastic vol (FSV / RFSV),"BSS process, FSV (Comte-Renault), RFSV (Gatheral et al.)",QLIKE/MSE,"introduce a class of continuous-time models of volatility incorporating both roughness and persistence",none,low,Methodological paper introducing BSS class; less of a horse race
P05_buccheri_2021,HARK (HAR with Kalman correction),HAR / HARQ,"HAR, HARQ, HARK (proposed), SHAR, SHARK",MSE,"HARK is always lower than the benchmark models",none,high,Strong horse-race element comparing HAR variants; informal sig (no MCS/DM/SPA in abstract)
P06_caporin_2024,Forecast-reconciled hierarchical model,Standard HAR baselines,"HAR-RV, HAR-CJ, hierarchical reconciliation methods (bottom-up, regression-based)",MSE,"the use of intraday hierarchies improves the forecast accuracy",none,medium,Methodological paper; horse race against HAR baselines
P07_hong_2023,Price-duration estimator (multi-pre-averaging),Sub-sampling / kernel estimators,"two-scale RV, multi-scale RV, realized kernel, pre-averaging RV, QML, price-duration estimator (proposed)",MSE,"price duration estimators can extract relevant information from high-frequency data better and produce smaller errors",none,medium,Methodological focus on volatility ESTIMATION (not just forecast); horse race against alternative QV estimators
P08_zhuo_2024,Weight-type HAR-SVR hybrid,Residual-type HAR-SVR hybrid,"HAR + 4 baseline vol models, residual-type HAR-SVR, weight-type HAR-SVR",MCS-implied,"according to the model confidence set test, the weight-type model outperforms the HAR model and the residual-type HAR-SVR model",MCS,high,Explicit MCS test outcome stated in abstract; clearest horse race in MDPI cohort
P09_rubio_2022,Hybrid ARIMA-SVR,ARIMA / SVR alone,"ARIMA, SVR, hybrid ARIMA-SVR",MSE,"this paper proposes using a hybrid model benefiting from ARIMA and support vector regression... to forecast",none,medium,Hybrid wins over each parent model; no formal sig test
P10_shen_2021,RNN (in MSE-style),GARCH / EWMA,"GARCH, EWMA, RNN",MSE + VaR backtest,"the RNN outperforms GARCH and EWMA in average forecasting performance. However... less efficient in capturing extreme events",none,high,"Mixed verdict: RNN best in MSE, GARCH/EWMA better in VaR; explicitly contradicts ML-always-better view"
P11_ersin_2023,GARCH-MIDAS-LSTM,GARCH-MIDAS,"GARCH-MIDAS variants (with geopolitical risk + production index + economic expectations), GARCH-MIDAS-LSTM",RMSE,"significant root mean squared error reduction with the novel GARCH-MIDAS-LSTM model over GARCH-MIDAS models. Percentage decline in root mean squared errors for forecasts are between 39% to 95%",none,high,Large effect size (39-95% RMSE reduction) but no formal sig test in abstract
P12_kim_2021,Bayesian Stochastic Volatility (SV),GARCH family,"Bayesian SV, GARCH variants",MSE,"the SV model performs better than the GARCH family models. Moreover the forecasting errors of the SV model... tend to be more accurate as forecast time horizons are longer",none,high,9 cryptocurrencies tested; SV beats GARCH especially at longer horizons
