paper_id,year,venue,citations,doi,arxiv_id,abstract_word_count,n_model_families,model_families_summary,asset_classes,rds_score,rds_reason,rds_confidence,needs_review,n_code_urls,code_urls_first,n_data_mentions,data_mentions_summary,headline_phrases,n_tables,n_figures,n_sections_detected,pdf_size_kb,title
P01_christensen_2023,2023,Journal of Financial Econometrics,85,10.1093/jjfinec/nbac020,,154,5,"garch_family(1),har_family(2),ml_family(11),classical(2),ensemble(3)","equity,crypto,fx,commodity",0,"no code, no public data detected",0.5,True,0,,0,,,15,12,8,665,A Machine Learning Approach to Volatility Forecasting
P02_bucci_2020,2020,Journal of Financial Econometrics,105,10.1093/jjfinec/nbaa008,,136,4,"garch_family(1),ml_family(8),classical(3),ensemble(1)","equity,crypto,fx",0,"no code, no public data detected",0.5,True,0,,0,,The results show that recurrent neural networks are able to outperform all the traditional econometric methods,6,9,8,752,Realized Volatility Forecasting with Neural Networks
P03_luong_2018,2018,Journal of Risk and Financial Management (MDPI),53,10.3390/jrfm11040061,,78,5,"garch_family(4),har_family(2),ml_family(6),classical(2),ensemble(1)","equity,crypto,fx,commodity",0,"no code, no public data detected",0.5,True,0,,0,,we demonstrate improvements of forecast accuracy for the proposed model,3,3,22,490,Forecasting of Realised Volatility with the Random Forests Algorithm
P04_bennedsen_2022,2022,Journal of Financial Econometrics,54,10.1093/jjfinec/nbaa049,,142,3,"har_family(1),ml_family(3),classical(3)","equity,crypto,commodity",0,"no code, no public data detected",0.5,True,0,,0,,"we find evidence consistent with the hypothesis that time series of realized measures of volatility are both rough and very persistent | we find that the models proposed in this paper outperform a wide array of benchmarks considerably, indicating that it pays off to exploit both roughness and",5,7,9,1075,Decoupling the Short- and Long-Term Behavior of Stochastic Volatility
P05_buccheri_2021,2021,Journal of Financial Econometrics,20,10.1093/jjfinec/nbz025,,129,3,"garch_family(1),har_family(2),classical(1)","equity,crypto,commodity",0,"no code, no public data detected",0.5,True,0,,0,,,13,14,10,1428,HARK the SHARK: Realized Volatility Modeling with Measurement Errors and Nonlinear Dependencies
P06_caporin_2024,2024,Journal of Financial Econometrics,2,10.1093/jjfinec/nbae014,,84,4,"garch_family(1),har_family(1),ml_family(1),ensemble(1)","equity,crypto,fx,commodity",0,"no code, no public data detected",0.5,True,0,,0,,we show that exploiting the informative content of hi­ erarchies improves the forecast accuracy,7,11,12,1587,Exploiting Intraday Decompositions in Realized Volatility Forecasting: A Forecast Reconciliation Approach
P07_hong_2023,2023,Journal of Financial Econometrics,18,10.1093/jjfinec/nbab006,,184,5,"garch_family(1),har_family(1),ml_family(1),classical(2),ensemble(1)","equity,crypto,commodity",0,"no code, no public data detected",0.5,True,0,,0,,,32,11,9,1253,Volatility Estimation and Forecasts Based on Price Durations
P08_zhuo_2024,2024,Risks (MDPI),8,10.3390/risks12010012,,194,5,"garch_family(1),har_family(4),ml_family(7),classical(2),ensemble(1)","equity,crypto,fx,commodity",0,"no code, no public data detected",0.5,True,0,,0,,,5,2,25,668,A Hybrid Model for Forecasting Realized Volatility Based on Heterogeneous Autoregressive Model and Support Vector Regression
P09_rubio_2022,2022,Mathematics (MDPI),44,10.3390/math10132181,,155,4,"garch_family(1),ml_family(7),classical(3),ensemble(2)","equity,crypto,fx,commodity",1,public_data(1) but no code URL,0.7,False,0,,1,yahoo finance,,9,10,24,1390,Forecasting Selected Colombian Shares Using a Hybrid ARIMA-SVR Model
P10_shen_2021,2021,Journal of Risk and Financial Management (MDPI),39,10.3390/jrfm14070337,,208,3,"garch_family(2),ml_family(6),classical(3)","equity,crypto,fx",1,public_data(2) but no code URL,0.7,False,0,,2,"coinmarketcap,coinmarketcap.com",The results demonstrate that the RNN outperforms GARCH and EWMA in average forecasting performance,7,12,30,3637,Bitcoin Return Volatility Forecasting: A Comparative Study between GARCH and RNN
P11_ersin_2023,2023,Mathematics (MDPI),23,10.3390/math11081785,,297,4,"garch_family(4),ml_family(10),classical(1),ensemble(2)","equity,crypto,fx,commodity",1,public_data(1) but no code URL,0.7,False,0,,1,google trends,,8,5,35,2438,Financial Volatility Modeling with the GARCH-MIDAS-LSTM Approach
P12_kim_2021,2021,Mathematics (MDPI),34,10.3390/math9141614,,97,3,"garch_family(3),ml_family(2),classical(3)","equity,crypto,fx,commodity",1,public_data(2) but no code URL,0.7,False,0,,2,"coinmarketcap,coinmarketcap.com","We find that when we deal with extremely volatile financial data, such as cryptocurrencies, the SV model performs better than the GARCH family models",10,6,18,1131,Forecasting the Volatility of the Cryptocurrency Market by GARCH and Stochastic Volatility
