source,doi,title,abstract,venue,year,citations,authors,url,filter_status
crossref,10.1093/jjfinec/nbaa008,Realized Volatility Forecasting with Neural Networks,"Abstract In the last few decades, a broad strand of literature in finance has implemented artificial neural networks as a forecasting method. The major advantage of this approach is the possibility to approximate any linear and nonlinear behaviors without knowing the structure of the data generating process. This makes it suitable for forecasting time series which exhibit long-memory and nonlinear dependencies, like conditional volatility. In this article, the predictive performance of feed-forward and recurrent neural networks (RNNs) was compared, particularly focusing on the recently developed long short-term memory (LSTM) network and nonlinear autoregressive model process with eXogenous input (NARX) network, with traditional econometric approaches. The results show that RNNs are able to outperform all the traditional econometric methods. Additionally, capturing long-range dependence through LSTM and NARX models seems to improve the forecasting accuracy also in a highly volatile period.",Journal of Financial Econometrics,2020,105,"Bucci, Andrea",https://doi.org/10.1093/jjfinec/nbaa008,pass
crossref,10.1093/jjfinec/nbac020,A Machine Learning Approach to Volatility Forecasting,"Abstract We inspect how accurate machine learning (ML) is at forecasting realized variance of the Dow Jones Industrial Average index constituents. We compare several ML algorithms, including regularization, regression trees, and neural networks, to multiple heterogeneous autoregressive (HAR) models. ML is implemented with minimal hyperparameter tuning. In spite of this, ML is competitive and beats the HAR lineage, even when the only predictors are the daily, weekly, and monthly lags of realized variance. The forecast gains are more pronounced at longer horizons. We attribute this to higher persistence in the ML models, which helps to approximate the long memory of realized variance. ML also excels at locating incremental information about future volatility from additional predictors. Lastly, we propose an ML measure of variable importance based on accumulated local effects. This shows that while there is agreement about the most important predictors, there is disagreement on their ranking, helping to reconcile our results.",Journal of Financial Econometrics,2023,85,"Christensen, Kim; Siggaard, Mathias; Veliyev, Bezirgen",https://doi.org/10.1093/jjfinec/nbac020,pass
crossref,10.1093/jjfinec/nbad005,Volatility Forecasting with Machine Learning and Intraday Commonality,"Abstract We apply machine learning models to forecast intraday realized volatility (RV), by exploiting commonality in intraday volatility via pooling stock data together, and by incorporating a proxy for the market volatility. Neural networks dominate linear regressions and tree-based models in terms of performance, due to their ability to uncover and model complex latent interactions among variables. Our findings remain robust when we apply trained models to new stocks that have not been included in the training set, thus providing new empirical evidence for a universal volatility mechanism among stocks. Finally, we propose a new approach to forecasting 1-day-ahead RVs using past intraday RVs as predictors, and highlight interesting time-of-day effects that aid the forecasting mechanism. The results demonstrate that the proposed methodology yields superior out-of-sample forecasts over a strong set of traditional baselines that only rely on past daily RVs.",Journal of Financial Econometrics,2024,32,"Zhang, Chao; Zhang, Yihuang; Cucuringu, Mihai; Qian, Zhongmin",https://doi.org/10.1093/jjfinec/nbad005,pass
crossref,10.1093/jjfinec/nbae014,Exploiting Intraday Decompositions in Realized Volatility Forecasting: A Forecast Reconciliation Approach,Abstract We address the construction of Realized Variance (RV) forecasts by exploiting the hierarchical structure implicit in available decompositions of RV. We propose a post-forecasting approach that utilizes bottom-up and regression-based reconciliation methods. By using data referred to the Dow Jones Industrial Average Index and to its constituents we show that exploiting the informative content of hierarchies improves the forecast accuracy. Forecasting performance is evaluated out-of-sample based on the empirical MSE and QLIKE criteria as well as using the Model Confidence Set approach.,Journal of Financial Econometrics,2024,2,"Caporin, Massimiliano; Di Fonzo, Tommaso; Girolimetto, Daniele",https://doi.org/10.1093/jjfinec/nbae014,pass
crossref,10.1093/jjfinec/nbaa005,Forecasting Equity Index Volatility by Measuring the Linkage among Component Stocks*,"Abstract The linkage among the realized volatilities of component stocks is important when modeling and forecasting the relevant index volatility. In this article, the linkage is measured via an extended Common Correlated Effects (CCEs) approach under a panel heterogeneous autoregression model where unobserved common factors in errors are assumed. Consistency of the CCE estimator is obtained. The common factors are extracted using the principal component analysis. Empirical studies show that realized volatility models exploiting the linkage effects lead to significantly better out-of-sample forecast performance, for example, an up to 32% increase in the pseudo R2. We also conduct various forecasting exercises on the linkage variables that compare conventional regression methods with popular machine learning techniques.",Journal of Financial Econometrics,2022,4,"Qiu, Yue; Xie, Tian; Yu, Jun; Zhou, Qiankun",https://doi.org/10.1093/jjfinec/nbaa005,pass
crossref,10.1093/jjfinec/nbac002,The Determinants of Volatility Timing Performance,"Abstract The exact conditions under which volatility timing strategies yield value are documented. These conditions include: the ability to correctly forecast next period stochastic variance, and violation of a strict version of Merton’s intertemporal capital asset pricing model (ICAPM). While the empirical evidence supports the first of these conditions, the latter remains open to debate. Our empirical results confirm the former, but demonstrate a significant violation of the (strict) ICAPM. It follows that volatility timing strategies appear to have value. However, using reasonable parameter values plugged into the derived formulae, the results also show that extreme leverage is often required for success. A method of tempering leverage is proposed, which is somewhat able to loosen the requirement of high leverage while still maintaining a good performance level. Given the likely variation in (strict) ICAPM violations across time and assets, it follows that volatility timing success (or failure) is very much sample dependent.",Journal of Financial Econometrics,2023,5,"Taylor, Nick",https://doi.org/10.1093/jjfinec/nbac002,pass
crossref,10.1093/jjfinec/nbz041,Volatility Prediction Using a Realized-Measure-Based Component Model,"Abstract This article introduces a volatility model with a component structure allowing for a realized measure based on high-frequency data (e.g., realized variance) to drive the short-run volatility dynamics. In a joint model of the daily return and the realized measure, the conditional variance of the daily return has a multiplicative component structure: the first component traces long-run (secular) volatility trends, while the second component captures short-run (transitory) movements in volatility. Despite being a fixed-parameter model, its component structure implies time-varying parameters, which are “data-driven” to capture changing volatility regimes. We discuss the model dynamics and estimation by maximum likelihood. The empirical analysis reveals statistically significant out-of-sample gains compared to benchmark models, particularly for short forecast horizons and during the financial crisis.",Journal of Financial Econometrics,2022,3,"Noureldin, Diaa",https://doi.org/10.1093/jjfinec/nbz041,pass
crossref,10.1093/jjfinec/nbab028,Increasing the information content of realized volatility forecasts,"Abstract Assuming N available calendar days, each with M intraday returns, the realized volatility literature suggests creating N end-of-day estimators by summing the M squared returns from each particular date. Instead of this “Calendar” [realized variance (RV)] approach, we propose a “Rolling” [rolling RV (RRV)] approach that simply sums trailing M returns at each timestamp, regardless if all M returns belong to the same calendar date. When estimating an out-of-sample 1-day realized volatility model, the former results in an ordinary least squares (OLS) regression with N−1 datapoints while the latter incorporates M(N−2)+1 datapoints, effectively lowering the standard errors, and potentially resulting in more accurate forecasts. We compare both models for the S&amp;P 500 and 26 Dow Jones Industrial Average stocks; our results generally suggest that the Rolling approach yields both statistically and economically significant superior out-of-sample performance over the traditional Calendar approach.",Journal of Financial Econometrics,2023,7,"Pascalau, Razvan; Poirier, Ryan",https://doi.org/10.1093/jjfinec/nbab028,pass
crossref,10.1093/jjfinec/nbaf016,Finding Inflation Uncertainty Factors: A Sparse Stochastic Volatility Approach,"Abstract Inflation uncertainty is an undeniable factor in economic decision-making. In this study, we investigate predictive factors that possess information on inflation uncertainty among many observable macroeconomic variables and uncertainty indices. To do this, we estimate several inflation prediction models popular in the literature, allowing for stochastic volatility with predetermined variables. We apply the Dirac spike-and-slab prior to the volatility-explaining variables to detect relevant macroeconomic determinants of the inflation volatility process. Contrary to prior studies suggesting that the inflation level is essentially a unique factor explaining inflation uncertainty, our findings reveal that survey inflation expectations and the capacity utilization rate are significantly more relevant. These results remain robust to different models of inflation.",Journal of Financial Econometrics,2025,0,"Choi, Hui-Jhong; Kang, Kyu Ho",https://doi.org/10.1093/jjfinec/nbaf016,pass
crossref,10.1093/jjfinec/nbad029,A Stochastic Price Duration Model for Estimating High-Frequency Volatility,"Abstract We propose a stochastic price duration model to estimate high-frequency volatility. A price duration is directly linked to volatility from the passage time theory for Brownian motions, and it possesses several advantages over returns for estimating volatility. We employ price durations in a parametric model that directly specifies stochastic volatility dynamics. Our approach allows us to estimate intraday spot volatility and our empirical results suggest the presence of important intraday volatility dynamics. We conduct an extensive integrated variance forecast comparison, which demonstrates the superior performance of our proposed models compared with other duration-based or return-based estimators.",Journal of Financial Econometrics,2024,3,"Pelletier, Denis; Wei, Wei",https://doi.org/10.1093/jjfinec/nbad029,pass
